index,username,tweet_id,tweet_text,org,relevant,category,query,datetime_of_tweet,datetime_of_query,link,mentioned_location,location,image
111,suppawatz,1722472925314666709,"เรียน ท่าน สส ครับ

ขอรบกวนช่วยปรับปรุงบริเวณทางเดิน ซอย อุดมสุข 58 ทั้งทางเท้า ท่อระบายน้ำ รวมถึง ความสว่างทางเดินบริเวณกลางคืน หน่อยครับ",department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""อนุสาวรีย์ชัยฯ"" OR ""อรุณอมรินทร์"" OR ""อังรีดูนังต์"" OR ""อัสสัมชัญ"" OR ""อาจณรงค์"" OR ""อิสรภาพ"" OR ""อุดมสุข"" OR ""อู่ทองนอก"" OR ""อู่ทองใน"" OR ""อโศก-ดินแดง"" OR ""อโศก-เพชรบุรี"" OR ""อโศก"" OR ""อ่อนนุช"" OR ""เกษมราษฎร์"" OR ""เกียกกาย"")",2023-11-09 4:35:22,2023-11-16 16:29:11,https://twitter.com/suppawatz/status/1722472925314666709,อุดมสุข,,[]
112,suppawatz,1722471859357409646,"@TOTOPiyarat 

เรียน ท่าน สส ครับ

มีเรื่องจะขอรบกวนครับ
รบกวนช่วยปรับปรุง ทางเดิน รวมถึงแสงสว่างเวลากลางคืน ซอยอุดมสุข 58 หน่อยได้ไหมครับ อยากให้ลองมาทานหมาล่าสุกี้จินดาดู 

ทางเปลี่ยวมืด แถมมีน้องหมา อีก 

หากสามารถติดตามความคืบหน้าของสะพานได้ด้วยจะดีมากครับ

ขอบคุณครับ",department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""อนุสาวรีย์ชัยฯ"" OR ""อรุณอมรินทร์"" OR ""อังรีดูนังต์"" OR ""อัสสัมชัญ"" OR ""อาจณรงค์"" OR ""อิสรภาพ"" OR ""อุดมสุข"" OR ""อู่ทองนอก"" OR ""อู่ทองใน"" OR ""อโศก-ดินแดง"" OR ""อโศก-เพชรบุรี"" OR ""อโศก"" OR ""อ่อนนุช"" OR ""เกษมราษฎร์"" OR ""เกียกกาย"")",2023-11-09 4:31:07,2023-11-16 16:29:11,https://twitter.com/suppawatz/status/1722471859357409646,อุดมสุข,,[]
118,baimaibaijai,1722262181843263828,ใจคอกทมจะปล่อย #เยาวราช ไปตามสภาพแบบนี้จริงๆอ่ะหรอ ต้นไม้ไม่มี ถนนสกปรกน้ำขัง ทางเท้าแคบพัง รถยนต์ (ส่วนใหญ่แท็กซี่) วิ่งตลอดเวลาทั้งที่คนเดินเต็มถนน กินบุญเก่าไปเรื่อยๆ ไม่คิดจะพัฒนาให้สมเป็นย่านของกินระดับโลกเลย @chadchart_trip #ชัชชาติ,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2023-11-08 14:37:56,2023-11-16 14:52:12,https://twitter.com/baimaibaijai/status/1722262181843263828,เยาวราช,,[]
119,natchan0n,1722248761672687785,วันนี้เห็นตรงข้ามตลาดคลองเตย ถ.พระราม 4 แขวนขายรองเท้าริมถนน วางบนทางเท้า,municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ประเวศ"" OR ""คลองเตย"" OR ""สวนหลวง"" OR ""จอมทอง"" OR ""ดอนเมือง"" OR ""ราชเทวี"" OR ""ลาดพร้าว"" OR ""วัฒนา"" OR ""บางแค"" OR ""หลักสี่"" OR ""สายไหม"" OR ""คันนายาว"" OR ""สะพานสูง"" OR ""วังทองหลาง"" OR ""คลองสามวา"")",2023-11-08 13:44:37,2023-11-16 15:25:10,https://twitter.com/natchan0n/status/1722248761672687785,คลองเตย,,[]
124,BPoppynotwo,1722158474774413513,ท่านผู้ว่าควรสั่งทุกเขตตรวจสอบฟุตบาทกับถนน ด่วนๆจ้า มาดูแถวลาดพร้าว ถนนที่รถไฟฟ้าสายสีเหลืองทำ ทุกวันนี้ยังทำไม่เสร็จเลยจ้า สงสัยชาติหน้ามั่งคงเสร็จ,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ประเวศ"" OR ""คลองเตย"" OR ""สวนหลวง"" OR ""จอมทอง"" OR ""ดอนเมือง"" OR ""ราชเทวี"" OR ""ลาดพร้าว"" OR ""วัฒนา"" OR ""บางแค"" OR ""หลักสี่"" OR ""สายไหม"" OR ""คันนายาว"" OR ""สะพานสูง"" OR ""วังทองหลาง"" OR ""คลองสามวา"")",2023-11-08 7:45:51,2023-11-16 15:25:10,https://twitter.com/BPoppynotwo/status/1722158474774413513,ลาดพร้าว,,['https://pbs.twimg.com/media/F-YvdXqa0AAghkq?format=jpg&name=small']
130,SR_boss2023,1722071348451971366,ผมเช่าหอพักที่ย่านนึงในพญาไท #ชัชชาติ มีความตั้งใจที่จะปรับปรุงระบบท่อระบายน้ำให้น้ำระบายเร็วขึ้น แต่บางอย่างใช้ไม่ได้เช่น ทางเดินชั่วคราว รวมถึงสายไฟระโยงระยางเหมือนเดิม ล่าสุดทางเท้าเดินง่ายขึ้นนิดนึงครับ,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2023-11-08 1:59:38,2023-11-16 14:52:12,https://twitter.com/SR_boss2023/status/1722071348451971366,พญาไท,,"['https://pbs.twimg.com/media/F-YGwEXasAA9IuL?format=jpg&name=small', 'https://pbs.twimg.com/media/F-YGwema0AAw6eC?format=jpg&name=small', 'https://pbs.twimg.com/media/F-YGw5UbsAAE8xE?format=jpg&name=360x360']"
134,napapon_bkn,1721867211168678362,"ได้รับแจ้งจากประธานชุมชนตรอกไผ่-บางเสาธง ทางเดินเท้าในชุมชนชำรุดเสียหาย อาจเกิดอุบัติเหตุแก่ผู้ใช้ทาง วันนี้ดำเนินการซ่อมแซมให้เรียบร้อยครับ

ส.ก.นภาพล จีระกุล
เขตบางกอกน้อย

 T. 081 406-8048
#รับใช้ประชาชนเสมอต้นเสมอปลาย",department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ห้วยขวาง"" OR ""คลองสาน"" OR ""ตลิ่งชัน"" OR ""บางกอกน้อย"" OR ""บางขุนเทียน"" OR ""ภาษีเจริญ"" OR ""หนองแขม"" OR ""ราษฎร์บูรณะ"" OR ""บางพลัด"" OR ""ดินแดง"" OR ""บึงกุ่ม"" OR ""สาทร"" OR ""บางซื่อ"" OR ""จตุจักร"" OR ""บางคอแหลม"")",2023-11-07 12:28:28,2023-11-16 15:20:42,https://twitter.com/napapon_bkn/status/1721867211168678362,บางกอกน้อย,,"['https://pbs.twimg.com/media/F-VNGENbQAAlge7?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-VNGRubYAAeU5y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-VNGfHaIAEZCo1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-VNGplaQAA1uO2?format=jpg&name=360x360']"
149,Sirilapas_mfp,1721420448230236404,"หมิวลงพื้นที่ชุมชนลำสาลีพัฒนาร่วมกับท่าน ผอ. เขตบางกะปิ เพื่อรับฟังปัญหาของพี่น้องในชุมชนค่ะ 
.
โดยปัญหาหลักๆที่พบในชุมชนคือ ไฟฟ้าดับหลายจุด ถนนทางเดินในชุมชนและทางเดินริมคลองผุพังเสียหาย รวมถึงปัญหาขยะที่ลอยมาตามคลองที่ส่งผลกระทบต่อระบบนิเวศในชุมชน
หมิวและทางผอ.…",department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""พระนคร"" OR ""หนองจอก"" OR ""บางรัก"" OR ""บางเขน"" OR ""บางกะปิ"" OR ""ปทุมวัน"" OR ""ป้อมปราบศัตรูพ่าย"" OR ""พระโขนง"" OR ""มีนบุรี"" OR ""ลาดกระบัง"" OR ""ยานนาวา"" OR ""สัมพันธวงศ์"" OR ""พญาไท"" OR ""ธนบุรี"" OR ""บางกอกใหญ่"")",2023-11-06 6:53:11,2023-11-16 15:16:13,https://twitter.com/Sirilapas_mfp/status/1721420448230236404,บางกะปิ,,"['https://pbs.twimg.com/media/F-O2wWQawAAdpal?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-O2wtNbgAATNBc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-O2xFYbMAArEIH?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-O2xaWaEAAIX1p?format=jpg&name=360x360']"
158,ArtThanyathorn,1720798138674676109,"[ โครงการปรับปรุงทางเดินสาธารณะ ซอยเพชรเกษม 41 ]
.
ผมพร้อมทีมงาน ลงพื้นที่ร่วมกับเจ้าหน้าที่ฝ่ายโยธา สำนักงานเขตบางแค ในซอยเพชรเกษม 41 เพื่อดำเนินการวัดระยะความยาวทางเดินสาธารณะ ในโครงการปรับปรุงขยายทางเดินเดิมซึ่งแคบและชำรุดทรุดโทรม
.…",department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""เจริญกรุง"" OR ""เจริญนคร"" OR ""เจริญราษฎร์"" OR ""เชื้อเพลิง"" OR ""เตาปูน"" OR ""เทพลีลา"" OR ""เทียมร่วมมิตร"" OR ""เพชรบุรี"" OR ""เพชรเกษม"" OR ""เพลินจิต"" OR ""เยาวราช"" OR ""เย็นอากาศ"" OR ""เลียบทางด่วน"" OR ""เลียบด่วน"" OR ""เลียบทางด่วนเอกมัย-รามอินทรา"")",2023-11-04 13:40:21,2023-11-16 16:34:05,https://twitter.com/ArtThanyathorn/status/1720798138674676109,บางแค,,"['https://pbs.twimg.com/media/F-GAyGzaoAEaGuO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-GAyG5bQAAajNZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-GAyG1b0AAUbuq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-GAyG3aAAA1ajM?format=jpg&name=360x360']"
162,bxmx0808,1720692473738203489,แล้วน้ำมันเอ่อล้นลงไปถนน ค้างอยู่ริมทางถนนอะ เวลารถวิ่งไปมา ก็เหยียบไปเรื่อยๆ บ้างก็กระเด็นไปบนทางเท้าอีก รบกวน #ผู้ว่ากรุงเทพฯ #กรมโยธา #จตุจักร ดำเนินการให้เห็นผลด้วยค่ะ  @chadchart_trip  และขอเป็นกำลังใจให้ทีมงานทุกท่านที่เหนื่อยแรงกายแรงใจปฏิบัติหน้าที่ด้วยนะคะ ขอบคุณมากๆค่ะ,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ห้วยขวาง"" OR ""คลองสาน"" OR ""ตลิ่งชัน"" OR ""บางกอกน้อย"" OR ""บางขุนเทียน"" OR ""ภาษีเจริญ"" OR ""หนองแขม"" OR ""ราษฎร์บูรณะ"" OR ""บางพลัด"" OR ""ดินแดง"" OR ""บึงกุ่ม"" OR ""สาทร"" OR ""บางซื่อ"" OR ""จตุจักร"" OR ""บางคอแหลม"")",2023-11-04 6:40:29,2023-11-16 15:20:42,https://twitter.com/bxmx0808/status/1720692473738203489,จตุจักร,,[]
187,JoufAdisorn,1719719039327707639,ช่วยมาเทสต์ตรงแยกห้วยขวางฝั่งโรงรับจำนำด้วยครับ ฟุตบาทยับมาก รับรองว่ากลิ้งเป็นลูกขนุน,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ห้วยขวาง"" OR ""คลองสาน"" OR ""ตลิ่งชัน"" OR ""บางกอกน้อย"" OR ""บางขุนเทียน"" OR ""ภาษีเจริญ"" OR ""หนองแขม"" OR ""ราษฎร์บูรณะ"" OR ""บางพลัด"" OR ""ดินแดง"" OR ""บึงกุ่ม"" OR ""สาทร"" OR ""บางซื่อ"" OR ""จตุจักร"" OR ""บางคอแหลม"")",2023-11-01 14:12:24,2023-11-16 15:20:42,https://twitter.com/JoufAdisorn/status/1719719039327707639,ห้วยขวาง,,[]
190,lolizzq,1719682289159012497,เค้ารู้แค่อยู่ตรง MRT บางแคประตูสาม มันเป็นแบบฟุตบาทสองข้างทางขายของงับบบ พอดีไม่ใช่คนแถวนั้นฮือๆๆ,municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ประเวศ"" OR ""คลองเตย"" OR ""สวนหลวง"" OR ""จอมทอง"" OR ""ดอนเมือง"" OR ""ราชเทวี"" OR ""ลาดพร้าว"" OR ""วัฒนา"" OR ""บางแค"" OR ""หลักสี่"" OR ""สายไหม"" OR ""คันนายาว"" OR ""สะพานสูง"" OR ""วังทองหลาง"" OR ""คลองสามวา"")",2023-11-01 11:46:22,2023-11-16 15:25:10,https://twitter.com/lolizzq/status/1719682289159012497,บางแค,,[]
192,qeeeenp,1719604126601154586,ไปดูสภาพฟุตบาทอโศก ทั้งสกปรก เดินลำบาก มอไซจอดกินทีตลอดเวลา,police department,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""อนุสาวรีย์ชัยฯ"" OR ""อรุณอมรินทร์"" OR ""อังรีดูนังต์"" OR ""อัสสัมชัญ"" OR ""อาจณรงค์"" OR ""อิสรภาพ"" OR ""อุดมสุข"" OR ""อู่ทองนอก"" OR ""อู่ทองใน"" OR ""อโศก-ดินแดง"" OR ""อโศก-เพชรบุรี"" OR ""อโศก"" OR ""อ่อนนุช"" OR ""เกษมราษฎร์"" OR ""เกียกกาย"")",2023-11-01 6:35:47,2023-11-16 16:29:11,https://twitter.com/qeeeenp/status/1719604126601154586,อโศก,,[]
207,Here_jingjing,1719172141898440861,"บางโครงการทางเข้าติดถนนบางนา-ตราดอยู่ฮะ แต่เข้าไปลึกมาก มากชนิดขับรถผ่านไม่เห็นตัวบ้านอ่ะฮะ
พึ่งรู้ว่าบางบ่อมีโครงการแสนสิริเยอะ พัฒนาบ้างก็ดี สามแยกโรงเรียนสร้างบ้างบออะไรไม่รู้เป็น 10 ปีไม่เสร็จสักที
สามแยกวัดใจมีไฟแดงไม่เคยเปิดใช้
ขายของยึดฟุตบาท รถจอดข้างทางเกะกะ ถนนแคบและพัง",municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""บางนา"" OR ""ทวีวัฒนา"" OR ""ทุ่งครุ"" OR ""บางบอน"" OR ""กรุงธนบุรี"" OR ""กรุงเทพกรีฑา"" OR ""กล้วยน้ำไท"" OR ""กัลปพฤกษ์"" OR ""กัลยาณไมตรี"" OR ""กาญจนาภิเษก"" OR ""กำแพงเพชร"" OR ""กิ่งแก้ว"" OR ""ขี้เสือใหญ่สามัคคี"" OR ""ข้าวสาร"" OR ""ครุใน"")",2023-10-31 1:59:13,2023-11-16 15:29:44,https://twitter.com/Here_jingjing/status/1719172141898440861,บางนา,,[]
209,Elekba,1719143872272728448,อย่าว่าแต่คนใช้วีลแชร์เลยค่ะ เคยเข็นรถเข็นเด็กจากแยกพระรามเก้าไปแยกอโศกเพชร ยังสาหัส ฟุตบาทมีทางลาดมั่งไม่มีมั่ง ขึ้นลงอย่างกับ รถไฟเหาะ,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""อนุสาวรีย์ชัยฯ"" OR ""อรุณอมรินทร์"" OR ""อังรีดูนังต์"" OR ""อัสสัมชัญ"" OR ""อาจณรงค์"" OR ""อิสรภาพ"" OR ""อุดมสุข"" OR ""อู่ทองนอก"" OR ""อู่ทองใน"" OR ""อโศก-ดินแดง"" OR ""อโศก-เพชรบุรี"" OR ""อโศก"" OR ""อ่อนนุช"" OR ""เกษมราษฎร์"" OR ""เกียกกาย"")",2023-10-31 0:06:53,2023-11-16 16:29:11,https://twitter.com/Elekba/status/1719143872272728448,อโศก,,[]
213,myluvforukth,1719013869165687024,เส้นลาดพร้าวจากใต้ดินลาดพร้าวขึ้นมาแล้วเดินไล่ย้อนกลับมาที่ลาดพร้าว 23 25 27 เส้นนี้จะมีพี่คนพิการคนนึงเขาต้องเดินทางผ่านตลอดแล้วสงสารเขามากเพราะฟุตบาททุเรศสุดๆ,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ประเวศ"" OR ""คลองเตย"" OR ""สวนหลวง"" OR ""จอมทอง"" OR ""ดอนเมือง"" OR ""ราชเทวี"" OR ""ลาดพร้าว"" OR ""วัฒนา"" OR ""บางแค"" OR ""หลักสี่"" OR ""สายไหม"" OR ""คันนายาว"" OR ""สะพานสูง"" OR ""วังทองหลาง"" OR ""คลองสามวา"")",2023-10-30 15:30:18,2023-11-16 15:25:10,https://twitter.com/myluvforukth/status/1719013869165687024,ลาดพร้าว,,['https://pbs.twimg.com/media/F9qoUK9aUAA3hAx?format=jpg&name=small']
