index,username,tweet_id,tweet_text,translated_text,org_step_1,org_step_2,relevant,category,query,datetime_of_tweet,datetime_of_query,link,mentioned_location,location,image
021,arpagorn_u,1724032369840332877,"ขายบ้านเดี่ยว 3 ชั้น ถนนราชพฤกษ์ 
ใกล้วงเวียนพระราม 5 

 5 ห้องนอน  4 ห้องน้ำ  อ่างจากุซซี่ทุกห้อง

สวนหลังบ้านพื้นที่กว่า 50 ตรว. ตกแต่งทางเดิน ต้นไม้ พร้อมโดมใหญ่

 Glasshouse ชั้น 3 มีอ่างจากุซซี่ outdoor ขนาดใหญ่ พร้อมชุด rain shower ฝังฝ้าและเครื่องทำร้อน","3-story detached house for sale, Ratchaphruek Road.
Near Rama 5 roundabout

 5 bedrooms, 4 bathrooms, Jacuzzi tub in every room

Back garden area over 50 sq m. Decorated with walkways, trees and a large dome.

 Glasshouse, 3rd floor, has a large outdoor jacuzzi with a rain shower set built into the ceiling and a heater.",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ยมราช"" OR ""ยานนาวา"" OR ""ยี่สิบสองกรกฎาคม"" OR ""รัชดา-ท่าพระ"" OR ""รัชดาภิเษก"" OR ""รางน้ำ"" OR ""ราชดำริ"" OR ""ราชดำเนินกลาง"" OR ""ราชดำเนินนอก"" OR ""ราชดำเนินใน"" OR ""ราชบพิธ"" OR ""ราชประสงค์"" OR ""ราชปรารภ"" OR ""ราชพฤกษ์"" OR ""ราชวิถี"")",2023-11-13 11:52:02,2023-11-16 16:01:37,https://twitter.com/arpagorn_u/status/1724032369840332877,ราชพฤกษ์,,
029,yokoyaki1985,1723944391507661236,คนสมุทรปราการที่ใช้ชีวิตอยู่ละแวกถนนสุขุมวิทต้องชินชากับเด็กเทคนิคเทคโนตีกันอะ สมัยยังไม่มีบีทีเอสก็ตีกันบนรถเมล์เขียว ปาระเบิดปิงปองขึ้นรถสองแถว งัดอิฐตัวหนอนจากฟุตบาทพัง ๆ มาปาใส่กัน เคยเห็นคนยิงปืนปากการะยะเผาขนด้วย เสียงแม่งแป๊กๆๆๆๆ,"People in Samut Prakan who live in the Sukhumvit Road area must be used to techno-technical kids. When there was no BTS, they fought on green buses. Throwing ping pong bombs onto a minibus Pulling out bricks from broken sidewalks and throwing them at each other. I've even seen people shoot pen guns at point-blank range. The sound is so loud.",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""สาทร"" OR ""สาทรเหนือ"" OR ""สาทรใต้"" OR ""สาธุประดิษฐ์"" OR ""สามย่าน"" OR ""สามเสน"" OR ""สายไหม"" OR ""สายไหม-ลำลูกกา"" OR ""สำเพ็ง"" OR ""สิรินธร"" OR ""สีลม"" OR ""สี่พระยา"" OR ""สุขสวัสดิ์"" OR ""สุขุมวิท"" OR ""สุทธิสาร"")",2023-11-13 6:02:26,2023-11-16 16:20:05,https://twitter.com/yokoyaki1985/status/1723944391507661236,สุขุมวิท,,
034,mkyh2u,1723930944950706290,อยู่ไทย เดินได้จริงๆคือฟุตบาท ทองหล่อ-อโศกอะ แล้วมันเจริญ เดินได้แค่ย่านคนรวย แต่ปทท ไม่ใช่ทุกย่านที่พัฒนาแล้ว,"In Thailand, you can really walk on footpaths. Thonglor-Asoke, and it's prosperous, walkable only in rich areas, but PTT isn't every developed area.",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ดินแดง"" OR ""ตรีเพชร"" OR ""ตากสิน"" OR ""ทรงวาด"" OR ""ทวีวัฒนา"" OR ""ทองหล่อ"" OR ""ท่าข้าม"" OR ""ท่าดินแดง"" OR ""ท่าทราย"" OR ""ท่าพระ"" OR ""ท้ายวัง"" OR ""ธนิยะ"" OR ""นครปฐม"" OR ""นครราชสีมา"" OR ""นครลุง"")",2023-11-13 5:09:01,2023-11-16 15:38:26,https://twitter.com/mkyh2u/status/1723930944950706290,ทองหล่อ,,
039,Kaninz_,1723891005345398896,ไทยเดินยากจริง อากาศร้อน เดินนิดนึงคือตัวเปียก เหนียว อีกอย่างคือทางเดินเหี้ยจนไม่อยากเดิน ทางเท้าแคบแถมไม่สมประกอบ ถ้าทางเดินดีคือเดินได้อยู่ละ พิสูจน์จากที่เดินจากสามย่านไปเซ็นทรัลเวิร์ดได้เพราะมีสกายวอร์ค ไม่ต้องกลัวรถชน ไม่ต้องกลัวเหยียบน้ำขัง,"Walking in Thailand is really difficult. The weather is hot. If you walk a little, you'll get wet and sticky. Another thing is that the paths are so bad that you don't want to walk. The sidewalks are narrow and uneven. If the path is good, you can walk on it. Proven by walking from Sam Yan to Central World because there is a skywalk. Don't be afraid of a car crash. Don't be afraid of stepping into standing water.",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""สาทร"" OR ""สาทรเหนือ"" OR ""สาทรใต้"" OR ""สาธุประดิษฐ์"" OR ""สามย่าน"" OR ""สามเสน"" OR ""สายไหม"" OR ""สายไหม-ลำลูกกา"" OR ""สำเพ็ง"" OR ""สิรินธร"" OR ""สีลม"" OR ""สี่พระยา"" OR ""สุขสวัสดิ์"" OR ""สุขุมวิท"" OR ""สุทธิสาร"")",2023-11-13 2:30:18,2023-11-16 16:20:05,https://twitter.com/Kaninz_/status/1723891005345398896,สามย่าน,,
045,dragonfly9439,1723803878485832040,ที่ไทยไม่เหมาะกับการเดินจริงๆนี่เคยคิดจะเดินจากร.แรม ที่หัวหินไปร้านอาหาร คิดว่าฝ2กิโลสบาย สรุปเดินไม่พ้นหน้ารร. หมาเป็นฝูง เดินกลับเลยจ้ากลัวหมากัด อีกทีคือเดินจากบรรทัดทองไปสุรวงศ์ตอนค่ำแล้ว คิดว่าเดินนิดเดียวคงมปร สรุปแมลงสาปวิ่งยั้วเยี้ยบนทางเท้า เดินไปกรี๊ดไป สรุปเรียกgrabจบ,"Thailand is really not suitable for walking. I thought about walking from the hotel. In Hua Hin go to a restaurant I think 2 kilometers of rain is comfortable. In summary, I couldn't walk past the front of the school. There's a group of dogs. Walk back. I'm afraid the dogs will bite you. Another time is walking from Banthat Thong to Surawong in the evening. I think it's okay to walk just a little bit. Summary of cockroaches running around on the sidewalk. Walk away screaming. In conclusion, call grab and finish.",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""นครสวรรค์"" OR ""นครไชยศรี"" OR ""นนทรี"" OR ""นราธิวาสราชนครินทร์"" OR ""นวมินทร์"" OR ""นวลจันทร์"" OR ""นักกีฬาแหลมทอง"" OR ""นางลิ้นจี่"" OR ""นานา"" OR ""บรมราชชนนี"" OR ""บรรทัดทอง"" OR ""บางกอกน้อย"" OR ""บางกะปิ"" OR ""บางขุนนนท์"" OR ""บางขุนพรหม"")",2023-11-12 20:44:06,2023-11-16 15:43:02,https://twitter.com/dragonfly9439/status/1723803878485832040,บรรทัดทอง,,
046,cloudyciel,1723794024614551613,นี่เป็นคนชอบเดินนะ ถ้ากรุงเทพทำให้น่าเดินทุกที่กุก็เดินหมดอะ ปกติเดินจากหอวังไปเกษตรด้วยซ้ำ แต่อากาศแม่งร้อนเกิน ฟุตบาทก็ตามสภาพ คือชอบเดินแต่ไม่ชอบเหงื่ออก,"This is a person who likes to walk. If Bangkok made it worth walking everywhere, I would walk everywhere. Normally, I even walk from Horwang to Kasetsart. But the weather is too hot. The footpath depends on the condition. I like walking but don't like to sweat.",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2023-11-12 20:04:56,2023-11-16 14:52:12,https://twitter.com/cloudyciel/status/1723794024614551613,หอวัง,,
047,triceboysleeps,1723773060342497393,อยู่กรุงเทพมันอุบาทว์จิง ไม่น่าเดินเหี้ยๆ ตอนอยู่นครปฐมก็พื้นทางเดินเหี้ยเหมียนกัน แต่ยังมีสนามจันทร์กับหลังมอให้แว้บไปบ้าง ไอมิสการเดินเล่นรอบมอว่ะTT,"Living in Bangkok is really brutal. It's not worth walking around. When we were in Nakhon Pathom, the walking surface was very rough. But there are still Sanam Chan and the back of the university for a glimpse. I miss walking around campus TT",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2023-11-12 18:41:38,2023-11-16 14:52:12,https://twitter.com/triceboysleeps/status/1723773060342497393,นครปฐม,,
063,1504fp,1723656454899683357,ดอนเมืองไปเกาหรีคือสะดวกจีง แต่กุไม่อยากไปสนามบินเก่า  ทางเดินเข้าเกทมืดและน่ากัวมาก,Don Mueang to Korea is very convenient. But I don't want to go to the old airport. The entrance to the gate was dark and very scary.,,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ประเวศ"" OR ""คลองเตย"" OR ""สวนหลวง"" OR ""จอมทอง"" OR ""ดอนเมือง"" OR ""ราชเทวี"" OR ""ลาดพร้าว"" OR ""วัฒนา"" OR ""บางแค"" OR ""หลักสี่"" OR ""สายไหม"" OR ""คันนายาว"" OR ""สะพานสูง"" OR ""วังทองหลาง"" OR ""คลองสามวา"")",2023-11-12 10:58:17,2023-11-16 15:25:10,https://twitter.com/1504fp/status/1723656454899683357,ดอนเมือง,,
071,rdullsulis,1723512831956718024,"เมื่อวานนั่งมอไซค์เส้นพญาไท ระหว่างความจอแจความทรมานก็เห็นหมานั่งโง่ๆอยู่บนฟุตบาทตรงวงเวียนสาวรีย์ชัยตัวนึง

มองสัตว์ที่อยู่ในเมืองแล้วมันก็รู้สึก ""สงบ"" เพราะความ unbothered ที่มันสามารถมีต่อความจอแจและแรงกดดันในพื้นที่เมืองล่ะมั้ง

ดูความ being unbothered และ calm ของแรดตัวนี้สิ","Yesterday I rode a motorcycle on the Phayathai route. In the midst of the bustle and suffering, I saw a dog sitting stupidly on the sidewalk at Savaree Chai roundabout.

Looking at animals living in cities, they feel ""peaceful"" because of how unbothered they can be in the noise and pressure of urban areas.

Look at this rhino's being unbothered and calm.",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""พระนคร"" OR ""หนองจอก"" OR ""บางรัก"" OR ""บางเขน"" OR ""บางกะปิ"" OR ""ปทุมวัน"" OR ""ป้อมปราบศัตรูพ่าย"" OR ""พระโขนง"" OR ""มีนบุรี"" OR ""ลาดกระบัง"" OR ""ยานนาวา"" OR ""สัมพันธวงศ์"" OR ""พญาไท"" OR ""ธนบุรี"" OR ""บางกอกใหญ่"")",2023-11-12 1:27:35,2023-11-16 15:16:13,https://twitter.com/rdullsulis/status/1723512831956718024,พญาไท,,
072,mikass000,1723421702473019584,อาเคมิ น่าจะเป็นตลคที่มีพัฒนาการมากที่สุดใน ซามูไรตาฟ้า อาเคมิถูกปลูกฝังมาตั้งแต่เด็กว่าตนเกิดมาเป็นผญไม่มีสิทธิ์เลือกทางเดินของชีวิต จะต้องให้ผชมาปกป้องเท่านั้น แต่ตลอดระยะเวลาในเรื่อง อาเคมิก็ได้พิสูจน์ให้คนดูเห็น ถึงแม้ว่าตัวเองจะเป็นผญ แต่เจ้าตัวก็จะยิ่งใหญ่เองได้,Akemi is probably the most developed character of the Blue-Eyed Samurai. Akemi has been taught since childhood that she was born female and has no right to choose her path in life. Must have a friend protect him only. But throughout the entire story Akemi proved it to the audience. Even though I myself am a woman But he will be great himself.,,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""พร้อมพงษ์"" OR ""พหลโยธิน"" OR ""พัฒนาการ"" OR ""พาหุรัด"" OR ""พิบูลสงคราม"" OR ""พิษณุโลก"" OR ""พุทธบูชา"" OR ""พุทธมณฑล สาย 1"" OR ""พุทธมณฑล สาย 2"" OR ""พุทธมณฑล สาย 3"" OR ""มหรรณพ"" OR ""มหาไชย"" OR ""มอเตอร์เวย์"" OR ""มิตรภาพไทย-จีน"" OR ""มไหสวรรย์"")",2023-11-11 19:25:28,2023-11-16 15:56:58,https://twitter.com/mikass000/status/1723421702473019584,พัฒนาการ,,
077,PHETSIAM,1723269719531430162,ทางเท้าย่านพร้อมพงษ์,Sidewalk in Phrom Phong area,,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""พร้อมพงษ์"" OR ""พหลโยธิน"" OR ""พัฒนาการ"" OR ""พาหุรัด"" OR ""พิบูลสงคราม"" OR ""พิษณุโลก"" OR ""พุทธบูชา"" OR ""พุทธมณฑล สาย 1"" OR ""พุทธมณฑล สาย 2"" OR ""พุทธมณฑล สาย 3"" OR ""มหรรณพ"" OR ""มหาไชย"" OR ""มอเตอร์เวย์"" OR ""มิตรภาพไทย-จีน"" OR ""มไหสวรรย์"")",2023-11-11 9:21:32,2023-11-16 15:56:58,https://twitter.com/PHETSIAM/status/1723269719531430162,พร้อมพงษ์,,
078,pannaxz,1723261108277150018,ละทางเดินจากแอลิ้งมักกะสันลงไปเพชรบุรีกูนึกว่าเดินทางไกล,"Leaving the path from Aling Makkasan down to Phetchaburi, I thought it was a long journey.",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""เจริญกรุง"" OR ""เจริญนคร"" OR ""เจริญราษฎร์"" OR ""เชื้อเพลิง"" OR ""เตาปูน"" OR ""เทพลีลา"" OR ""เทียมร่วมมิตร"" OR ""เพชรบุรี"" OR ""เพชรเกษม"" OR ""เพลินจิต"" OR ""เยาวราช"" OR ""เย็นอากาศ"" OR ""เลียบทางด่วน"" OR ""เลียบด่วน"" OR ""เลียบทางด่วนเอกมัย-รามอินทรา"")",2023-11-11 8:47:19,2023-11-16 16:34:05,https://twitter.com/pannaxz/status/1723261108277150018,เพชรบุรี,,
